ZpusobVyuzitiKod,Vyznam,HILUCS
1,průmyslový objekt,200
2,zemědělská usedlost,520
3,objekt k bydlení,510
4,objekt lesního hospodářství,120
5,objekt občanské vybavenosti,330
6,bytový dům,510
7,rodinný dům,510
8,stavba pro rodinnou rekreaci,520
9,stavba pro shromažďování většího počtu osob,300
10,stavba pro obchod,311
11,stavba ubytovacího zařízení,313
12,stavba pro výrobu a skladování,200
13,zemědělská stavba,110
14,stavba pro administrativu,324
15,stavba občanského vybavení,330
16,stavba technického vybavení,400
17,stavba pro dopravu,420
18,garáž,420
19,jiná stavba,660
20,víceúčelová stavba,660
21,skleník,112
22,přehrada,432
23,hráz přehrazující vodní tok nebo údolí,432
24,hráz k ochraně nemovitostí před zaplavením při povodni,432
25,hráz ohrazující umělou vodní nádrž,432
26,jez,432
27,stavba k plaveb.účelům v korytech nebo na březích vod.toků,432
28,stavba k využití vodní energie (vodní elektrárna),244
29,stavba odkaliště,432
30,rozestavěné jednotky,660
