Hodnota,Vyznam,Odkaz
100,primární sektor,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_PrimaryProduction
110,zemědělství,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_1_Agriculture
111,komerční zemědělská výroba,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_1_1_CommercialAgriculturalProduction
112,zemědělská infrastruktura,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_1_2_FarmingInfrastructure
113,zemědělská produkce pro vlastní spotřebu,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_1_3_AgriculturalProductionForOwnConsumption
120,lesnictví,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_2_Forestry
121,lesnictví založené na krátkodobém obmýtí,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_2_1_ForestryBasedOnShortRotation
122,lesnictví založené na střednědobém nebo dlouhodobém obmýtí,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_2_2_ForestryBasedOnIntermediateOrLongRotation
123,lesnictví založené na kontinuálním pokryvu,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_2_3_ForestryBasedOnContinuousCover
130,těžba a dobývání,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_3_MiningAndQuarrying
131,těžba energetických surovin,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_3_1_MiningOfEnergyProducingMaterials
132,těžba rud,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_3_2_MiningOfMetalOres
133,ostatní těžba a dobývání,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_3_3_OtherMiningAndQuarrying
140,akvakultura a rybolov,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_4_AquacultureAndFishing
141,akvakultura,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_4_1_Aquaculture
142,profesionální rybolov,http://inspire.ec.europa.eu/codelist/HILUCSValue/1_4_2_ProfessionalFishing
